$Price/Unit,% 1-Bed,% 2-Bed,% 3-Bed,% Studios,Affordable Type,Amenities,Anchor GLA,Anchor Tenants,Architect Name,Ask Rent/SF,Ask Rent/Unit,Average Weighted Rent,Avg Concessions %,Avg Rent-Direct (Industrial),Avg Rent-Direct (Office),Avg Rent-Direct (Retail),Avg Rent-Sublet (Industrial),Avg Rent-Sublet (Office),Avg Rent-Sublet (Retail),Avg Unit Size,Building Address,Building Class,Building Location,Building Name,Building Operating Expenses,Building Park,Building Status,Building Tax Expenses,Cap Rate,Ceiling Height Range,City,Closest Transit Stop,Closest Transit Stop Dist (mi),Closest Transit Stop Walk Time (min),Column Spacing,Construction Material,Core Factor,County Name,Cross Street,Days On Market,Developer Name,Direct Available Space,Direct Services,Direct Vacant Space,Drive Ins,Effective Rent/SF,Effective Rent/Unit,Energy Star,Exp Year,Features,For Sale Price,For Sale Status,Gas,Heating,LEED Certified,Land Area (AC),Last Sale Date,Last Sale Price,Latitude,Leasing Company Address,Leasing Company City State Zip,Leasing Company Contact,Leasing Company Fax,Leasing Company Name,Leasing Company Phone,Longitude,Market Name,Market Segment,Max Building Contiguous Space,Max Floor Contiguous Space,Number Of 1 Bedrooms,Number Of 2 Bedrooms,Number Of 3 Bedrooms,Number Of Cranes,Number Of Elevators,Number Of Loading Docks,Number Of Other Bedrooms,Number Of Parking Spaces,Number Of Stories,Number Of Studios,Number Of Units,Office Space,One Bedroom Mix,One Bedroom Rent High,One Bedroom Rent Low,Ops Expense,Ops Expense Per SF,Other Bedroom Rent High,Other Bedroom Rent Low,Other Mix,Owner Address,Owner City State Zip,Owner Contact,Owner Name,Owner Phone,Parcel Number 1(Min),Parcel Number 2(Max),Parking Ratio,Parking Spaces/Unit,Percent Leased,Power,Primary Agent Name,Property Manager Address,Property Manager City State Zip,Property Manager Contact,Property Manager Name,Property Manager Phone,PropertyID,PropertyType,Rail Lines,Rent Type,Rentable Building Area,Secondary Type,Serial,Services,Sewer,Smallest Available Space,Sprinklers,Star Rating,State,Style,Sublet Available Space,Sublet Services,Sublet Vacant Space,Submarket Cluster,Submarket Name,Tax Year,Taxes Per SF,Taxes Total,Three Bedroom Mix,Three Bedroom Rent High,Three Bedroom Rent Low,Total Available Space (SF),Total Buildings,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Total Vacant Available,Two Bedroom Mix,Two Bedroom Rent High,Two Bedroom Rent Low,Typical Floor Size,Vacancy %,Water,Year Built,Year Renovated,Zip,Zoning
,,,,,,,,,,,,-,,-,-,-,-,-,-,,505-511 Florida St,C,,,2008 Tax @ $0.46/sf,,Existing,2008 Tax @ $0.46/sf,,,Vallejo,,,,,,,Solano,,,,,,,1,,,,,,,N,,,,0.1492,,,38.104897,,,,,,,-122.257778,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,824 Marin St,"Vallejo, CA  94590",,Boydston Edward & Elvia E,,0056-163-060,0056-163-060,,,100,,,,,,,,5997440,Flex,,,2118,,AU6QWA,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2008,0.46,973.92,,,,,,,,,,,0,,,,2286,,,1900,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,710 Florida St,C,,,2013 Tax @ $1.49/sf,,Existing,2013 Tax @ $1.49/sf,,,Vallejo,,,,,Wood Frame,,Solano,,,,,,,None,,,,,,,N,,,,0.1492,3/9/2011 12:00,,38.1052107,,,,,,,-122.254375,North Bay/Santa Rosa,,,,,,,,0,,,,1,,,,,,,,,,,,701 Civic Center Blvd,"Suisun City, CA  945852617",,Redev. Agency of Suisun City,7074217309,0056-135-170,0056-135-170,,,100,,,,,,,,6018796,Flex,,,824,,A9AZ1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,1.49,1231.82,,,,,,,,,,,0,,,,889,,,1905,,94590,
,,,,,,,,,,,,12,,-,-,12,-,-,-,,32 5th St,C,,,2013 Tax @ $1.14/sf,,Existing,2013 Tax @ $1.14/sf,,,Vallejo,,,,,Masonry,,Solano,,,,2250,Full Service Gross,2250,None,,,,,,,N,,,,0.14,,,38.0952146,161 Cape Elizabeth Ct,"Vallejo, CA  94591",Surjeet Rattu,,Rattu Surjit S & Kuldip S,5103753285,-122.2473414,North Bay/Santa Rosa,,1125,1125,,,,,0,,,5,1,,,,,,,,,,,,161 Cape Elizabeth Ct,"Vallejo, CA  94591",,Rattu Surjeet S & Kuldip S,7076449267,0058-082-060,0058-082-060,2.22,,0.27,,Surjeet Rattu,,,,,,6033199,Flex,,,2256,Light Manufacturing,AIJP1A,Direct - Full Service Gross,,1125,,2 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,2013,1.14,2566.64,,,,2250,,,2250,0,2250,0,2250,,,,2256,,,1930,,94590,C
,,,,,,,,,,,,-,,-,-,-,-,-,-,,411-417 Broadway St,C,,,2013 Tax @ $0.44/sf,,Existing,2013 Tax @ $0.44/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,3/10'0inw x 12'0inh,,,,,,,N,,,,0.2265,,,38.1104507,,,,,,,-122.2488955,North Bay/Santa Rosa,,,,,,,,0,,,5,1,,,,,,,,,,,,PO BOX 8282,"SOUTH LAKE TAHOE, CA  96158",,Taylor Marion E,,0056-055-080,0056-055-080,1.13,,100,,,,,,,,6004828,Flex,,,4429,,A1GB1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.44,1929.24,,,,,,,,,,,0,,,,4781,,,1930,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,1801 Eldorado St,C,,,2013 Tax @ $0.26/sf,,Existing,2013 Tax @ $0.26/sf,,,Vallejo,,,,,,,Solano,,,,,,,3/10'0inw x 15'0inh,,,,,,,N,,,,0.189,,,38.1130479,,,,,,,-122.2499782,North Bay/Santa Rosa,,,,,,,,0,,,10,2,,,,,,,,,,,,1801 El Dorado,"Vallejo, CA  94590",,Vallejo Motorcyle Club Inc,,0056-023-330,0056-023-330,1.45,,100,,,,,,,,6004784,Flex,,,6875,,A1FA2A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.26,1778.78,,,,,,,,,,,0,,,,3710,,,1936,,94590,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,701 Solano Ave,C,,,2008 Tax @ $0.29/sf,,Existing,2008 Tax @ $0.29/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,None,,,,,,,N,,,,0.0551,,,38.096454,,,,,,,-122.247347,North Bay/Santa Rosa,,,,,,,,0,,,4,2,,,,,,,,,,,,1135 Skyline Dr,"Vallejo, CA  94591",,Barker Keith R & Imogene,,0058-081-110,0058-081-110,1.18,,100,,,,,,,,6043727,Flex,,,3384,,APCE2A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2008,0.29,996,,,,,,,,,,,0,,,,1826,,,1936,,94590,
,,,,,,Air Conditioning,,,,,,-,,-,-,-,-,-,-,,731 Tennessee St,C,,,2013 Tax @ $0.66/sf,,Existing,2013 Tax @ $0.66/sf,,,Vallejo,,,,,Masonry,,Solano,,,,,,,None,,,,,Air Conditioning,,N,,,,0.15,10/8/2013 12:00,"550,000.00",38.109899,3469 Tennessee St,"Vallejo, CA  945914908",Diana Lang,,Mustico Realty,7075525660,-122.250289,North Bay/Santa Rosa,,,,,,,,0,,,50,1,,,,,,,,,,,,14424 Vanowen St,"Van Nuys, CA  914054070",Bea Gia,Kingdom Of Jesus Christ,8187874466,0056-083-060,0056-083-060,7.94,,100,,Diana Lang,,,,,,5952378,Flex,,,6300,Showroom,A2N7YA,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2013,0.66,4153.18,,,,,,,,,,,0,,,,6300,,,1938,,945904505,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,102 Couch St,C,,,2014 Tax @ $0.57/sf,,Existing,2014 Tax @ $0.57/sf,,,Vallejo,,,,,,,Solano,,,,,,,2,,,,,,,N,,,,0.2,,,38.115505,,,,,,,-122.253425,North Bay/Santa Rosa,,,,,,,,0,,,15,1,,,,,,,,,,,,102 Couch St,"Vallejo, CA  94590",,Deschler Michael,,0054-171-120,0054-171-120,3,,100,,,,,,,,93258,Flex,,,5000,,SO6642,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2014,0.57,2864.18,,,,,,,,,,,0,,,,5000,,,1939,,945902902,
,,,,,,,,,,,,-,,-,-,-,-,-,-,,2118 Sacramento St,C,,,2008 Tax @ $1.36/sf,,Existing,2008 Tax @ $1.36/sf,,,Vallejo,,,,,,,Solano,,,,,,,1,,,,,,,N,,,,0.3872,,,38.117759,,,,,,,-122.257859,North Bay/Santa Rosa,,,,,,,,0,,,25,1,,,,,,,,,,,,2118 Sacramento St,"Vallejo, CA  94590",,Tang May Y,,0051-190-390,0051-190-390,9.28,,100,,,,,,,,6051003,Flex,,,2693,,AU0Z1A,,,,,2 Star,CA,,,,,Solano County Ind,Vallejo Ind,2008,1.36,3671.04,,,,,,,,,,,0,,,,2906,,,1940,,94590,
,,,,,,"Air Conditioning, Waterfront",,,,,,4.8,,4.8,-,-,-,-,-,,1175 Nimitz Blvd,B,California Ave & 12th St,Building 112,,Mare Island,Existing,,,23'0in,Vallejo,,,,24'w x 48'd,Metal,,Solano,,,,20268,,20268,10/10'0inw x 15'0inh,,,,,"Air Conditioning, Waterfront",,N,,,,0.47,,,38.0949771,1850 Gateway Blvd Suite # 130,"Concord, CA  945203279",Leasing Mare Island,,"Kennedy-Wilson Properties, Ltd.",7075624015,-122.2670302,North Bay/Santa Rosa,,20268,20268,,,,,0,,,40,2,,,,,,,,,,,,3130 Crow Canyon Pl,"San Ramon, CA  945831386",,Lennar Mare Island Llc,,0066-020-060,0066-020-060,3,,86.58,3000a/277-480v 3p,Leasing Mare Island,,,,,,6505026,Flex,,,151000,Light Manufacturing,AXJZ8A,,,20268,,1 Star,CA,,0,,0,Solano County Ind,Vallejo Ind,,,,,,,20268,,,20268,0,20268,0,20268,,,,75500,,,1941,,945921001,Comm
