tmnode_id,embarcadero_cong,pacheights_cong,stanford_cong
0,3952.32006836,4500.0,1768.79504395
1,2329.31591797,4500.0,246.613006592
2,2323.12890625,4500.0,217.337005615
3,4500.0,4500.0,4500.0
4,3202.50292969,4500.0,986.286010742
5,4500.0,4500.0,4500.0
6,2437.49609375,4500.0,4500.0
7,4500.0,4500.0,4500.0
8,4500.0,4500.0,4500.0
9,1044.64904785,4500.0,4500.0
10,1035.06103516,4500.0,4500.0
11,4500.0,4500.0,4500.0
12,4500.0,4500.0,4500.0
13,3649.23803711,4500.0,1490.41101074
14,3215.79101562,4500.0,1056.96398926
15,3665.40893555,4500.0,1506.58203125
16,3265.61791992,4500.0,1040.50695801
17,4500.0,4500.0,4500.0
18,2527.95507812,4500.0,4500.0
19,3644.9699707,4500.0,1486.14294434
20,3157.05688477,4500.0,4500.0
21,2105.43408203,4500.0,4500.0
22,3307.25610352,4500.0,1933.76904297
23,4500.0,4500.0,4500.0
24,3323.36499023,4500.0,1949.87805176
25,3093.18994141,4500.0,934.362976074
26,4500.0,4500.0,2435.8659668
27,1400.45898438,4500.0,4500.0
28,1367.23303223,4500.0,4500.0
29,4500.0,4500.0,3850.04907227
30,4500.0,4500.0,3855.53393555
31,1975.57104492,4500.0,4500.0
32,3383.1340332,4500.0,1967.59301758
33,832.007019043,4500.0,4500.0
34,3780.3659668,4500.0,1564.14904785
35,485.604003906,462.24899292,4500.0
36,1683.48901367,4500.0,1455.17895508
37,1007.43103027,933.812988281,4500.0
38,2363.22607422,4500.0,4500.0
39,1628.60205078,4500.0,4500.0
40,2198.15307617,1886.92700195,4500.0
41,4500.0,4500.0,4500.0
42,2256.17602539,4500.0,4500.0
43,4500.0,4500.0,3452.7199707
44,1964.26098633,4500.0,4500.0
45,1981.93200684,4500.0,4500.0
46,853.960021973,4500.0,4500.0
47,3868.37304688,4500.0,1684.84802246
48,3677.34399414,4500.0,1518.51696777
49,1058.48303223,4500.0,4500.0
50,2270.95507812,4500.0,4500.0
51,1676.8260498,4500.0,4500.0
52,2370.84301758,4500.0,4500.0
53,1366.17297363,4500.0,4500.0
54,3378.48510742,4500.0,1179.92504883
55,1004.01202393,4500.0,4500.0
56,3512.96606445,4500.0,1354.13903809
57,4500.0,4500.0,4500.0
58,4500.0,4500.0,3248.34399414
59,4500.0,4500.0,4500.0
60,3101.4609375,4500.0,1727.97399902
61,3400.4699707,4500.0,1184.25305176
62,4500.0,4500.0,4500.0
63,4500.0,4500.0,4500.0
64,810.262023926,4500.0,4500.0
65,4500.0,4500.0,4500.0
66,3465.00097656,4500.0,1248.78405762
67,3464.69091797,4500.0,1248.47399902
68,4500.0,4500.0,4500.0
69,4500.0,4500.0,4500.0
70,388.92199707,4500.0,4500.0
71,2632.95507812,4500.0,416.738006592
72,1863.29699707,4500.0,1136.95495605
73,4500.0,4500.0,4500.0
