tmnode_id,embarcadero_ff,pacheights_ff,stanford_ff
0,3254.43994141,4500.0,1600.0970459
1,2191.49707031,4500.0,236.731002808
2,2199.62890625,4500.0,214.878005981
3,3451.10693359,3098.78295898,4500.0
4,2833.11108398,4500.0,931.210998535
5,3439.32299805,3086.99902344,4500.0
6,2133.17407227,4500.0,4500.0
7,4500.0,4500.0,4500.0
8,4082.81103516,4500.0,4500.0
9,824.096008301,4500.0,4500.0
10,814.838012695,4500.0,4500.0
11,2193.75488281,1810.4909668,4500.0
12,4500.0,4500.0,4500.0
13,2822.48291016,4500.0,1303.69702148
14,2532.22192383,4500.0,937.288024902
15,2806.31396484,4500.0,1287.5279541
16,2581.2199707,4500.0,986.286010742
17,4082.53491211,3699.27099609,4500.0
18,1902.15600586,4500.0,4500.0
19,2820.22900391,4500.0,1301.44299316
20,2866.39599609,4500.0,4500.0
21,1685.26794434,4500.0,4500.0
22,2319.9699707,4500.0,1506.53601074
23,4347.71191406,4500.0,4500.0
24,2336.05810547,4500.0,1522.62402344
25,2412.89208984,4500.0,817.958007812
26,4266.24902344,4500.0,2364.34912109
27,1172.77404785,4500.0,4500.0
28,1080.49304199,4500.0,4500.0
29,4500.0,4500.0,3680.47509766
30,4500.0,4500.0,3685.95996094
31,1638.3170166,4500.0,4500.0
32,2414.69311523,4500.0,1601.91101074
33,802.723999023,4500.0,4500.0
34,3212.10888672,4500.0,1406.13098145
35,406.972991943,360.442993164,4500.0
36,1420.01196289,4500.0,1182.74304199
37,897.963012695,752.331970215,4500.0
38,2090.65209961,4500.0,4500.0
39,1367.62695312,4500.0,4500.0
40,2067.23803711,1694.54699707,4500.0
41,4500.0,4500.0,4500.0
42,1730.20996094,4500.0,1717.63305664
43,4500.0,4500.0,3381.20092773
44,1600.94799805,4500.0,4500.0
45,1611.81896973,4500.0,4500.0
46,834.010986328,4500.0,4500.0
47,3170.46289062,4500.0,1501.23706055
48,2814.13793945,4500.0,1268.94494629
49,836.354980469,4500.0,4500.0
50,1843.13098145,4500.0,4500.0
51,1424.83703613,4500.0,4500.0
52,1913.14294434,4500.0,4500.0
53,1330.83605957,4500.0,4500.0
54,2688.24609375,4500.0,1093.31201172
55,971.956970215,4500.0,4500.0
56,2767.08496094,4500.0,1172.15100098
57,4500.0,4500.0,4500.0
58,4500.0,4500.0,3176.82495117
59,4500.0,4500.0,4500.0
60,2145.37792969,4500.0,1332.77294922
61,3081.12109375,4500.0,1116.0760498
62,4500.0,4500.0,4500.0
63,4500.0,4500.0,4500.0
64,622.213989258,4500.0,4500.0
65,4500.0,4500.0,4500.0
66,3083.30493164,4500.0,1150.79602051
67,3082.99511719,4500.0,1150.48596191
68,2545.14794922,2161.8840332,4500.0
69,4427.08300781,4500.0,4500.0
70,282.390991211,4500.0,4500.0
71,2504.17895508,4500.0,403.182006836
72,1573.92199707,4500.0,1016.6619873
73,4500.0,4500.0,4500.0
74,741.375,4500.0,4500.0
75,3127.10693359,4500.0,1202.54504395
76,1866.53503418,4500.0,1828.66101074
77,2275.31201172,4500.0,1431.45800781
78,1306.62304688,4500.0,4500.0
79,2314.16088867,4500.0,1470.30700684
80,2276.40698242,4500.0,1432.55297852
81,3563.78491211,4500.0,4500.0
